"time","db_level"
"1746655258.6582348","51"
"1746655259.1587727","49"
"1746655259.6593475","48"
"1746655260.1599414","47"
"1746655260.6605177","47"
"1746655261.1610937","46"
"1746655261.661664","46"
"1746655262.1623173","46"
"1746655262.666364","46"
"1746655263.1670704","46"
"1746655263.667625","46"
"1746655264.1681795","46"
"1746655264.6687503","46"
"1746655265.1693606","46"
"1746655265.6701944","46"
"1746655266.170749","46"
"1746655266.671306","46"
"1746655267.171862","46"
"1746655267.672426","46"
"1746655268.1730037","46"
"1746655268.6738305","46"
"1746655269.1745324","46"
"1746655269.6750882","46"
"1746655270.1756427","46"
"1746655270.6761956","46"
"1746655271.1767523","45"
"1746655271.6773074","46"
"1746655272.1778655","46"
"1746655272.6784208","46"
"1746655273.1789775","46"
"1746655273.679546","46"
"1746655274.1801298","46"
"1746655274.6807115","46"
"1746655275.1812928","46"
"1746655275.6818616","46"
"1746655276.1824434","45"
"1746655276.683021","45"
"1746655277.1839964","47"
"1746655277.684597","46"
"1746655278.1851485","45"
"1746655278.685708","45"
"1746655279.1862605","45"
"1746655279.6867993","45"
"1746655280.1873343","45"
"1746655280.6878488","45"
"1746655281.1883743","45"
"1746655281.688878","45"
"1746655282.1894145","45"
"1746655282.6899197","45"
"1746655283.1904662","45"
"1746655283.6909988","45"
"1746655284.1915324","45"
"1746655284.6920547","45"
"1746655285.1925893","45"
"1746655285.6931446","45"
"1746655286.1936867","45"
"1746655286.6941938","45"
"1746655287.194725","44"
"1746655287.6952298","45"
"1746655288.1957464","45"
"1746655288.6962512","45"
"1746655289.1967697","45"
"1746655289.6972847","45"
"1746655290.1978097","45"
"1746655290.6983185","45"
"1746655291.1988437","45"
"1746655291.6993663","45"
"1746655292.1999266","45"
"1746655292.7004552","45"
"1746655293.2010016","45"
"1746655293.7015178","45"
"1746655294.2023125","45"
"1746655294.7028933","45"
"1746655295.203463","44"
"1746655295.7040446","45"
"1746655296.2046168","45"
"1746655296.7051694","46"
"1746655297.2057135","45"
"1746655297.706293","45"
"1746655298.2068405","45"
"1746655298.707379","45"
"1746655299.2079184","45"
"1746655299.7084465","45"
"1746655300.2089825","45"
"1746655300.7095582","46"
"1746655301.2101362","49"
"1746655301.7107112","52"
"1746655302.2112873","50"
"1746655302.711856","48"
"1746655303.2123933","47"
"1746655303.712924","46"
"1746655304.2134523","56"
"1746655304.7139835","52"
"1746655305.2145443","49"
"1746655305.7151096","47"
"1746655306.2156875","47"
"1746655306.7162502","46"
"1746655307.216804","46"
"1746655307.7173803","45"
"1746655308.2179463","48"
"1746655308.71848","46"
"1746655309.2190106","45"
"1746655309.719545","45"
"1746655310.2201183","45"
"1746655310.720657","45"
"1746655311.221206","45"
"1746655311.7217517","46"
"1746655312.2222855","45"
"1746655312.7228084","45"
"1746655313.2233334","45"
"1746655313.7238564","45"
"1746655314.2243886","48"
"1746655314.7249434","64"
"1746655315.2254913","60"
"1746655315.7260718","56"
"1746655316.226621","52"
"1746655316.7290647","49"
"1746655317.234449","47"
"1746655317.7350135","46"
"1746655318.2355518","47"
"1746655321.0181315","58"
"1746655321.518654","66"
"1746655322.019208","67"
"1746655322.5197694","64"
"1746655323.0203247","62"
"1746655323.5208678","58"
"1746655324.0214334","54"
"1746655324.5219884","51"
"1746655325.022566","48"
"1746655325.523152","47"
"1746655326.0237231","46"
"1746655326.5242836","46"
"1746655327.0248628","49"
"1746655327.5254252","50"
"1746655328.0259807","48"
"1746655328.5265262","46"
"1746655329.0270755","46"
"1746655329.5276213","46"
"1746655330.0281715","45"
"1746655330.528717","46"
"1746655331.0292552","47"
"1746655331.5297916","46"
"1746655332.0303285","46"
"1746655332.530866","46"
"1746655333.0313935","46"
"1746655333.5319226","45"
"1746655334.0324495","45"
"1746655334.5329762","46"
"1746655335.0335116","45"
"1746655335.5340466","45"
"1746655336.034579","45"
"1746655336.5351224","45"
"1746655337.0356598","45"
"1746655337.5361931","45"
"1746655338.0367284","45"
"1746655338.5372584","45"
"1746655339.0377831","45"
"1746655339.5383186","45"
"1746655340.0388846","45"
"1746655340.539441","45"
"1746655341.039999","45"
"1746655341.5405426","45"
"1746655342.0410888","45"
"1746655342.5416288","45"
"1746655343.042168","45"
"1746655343.5426965","45"
"1746655344.043224","45"
"1746655344.543752","45"
"1746655345.0442731","45"
"1746655345.5447986","46"
"1746655346.045327","48"
"1746655346.5458653","47"
"1746655347.0464325","46"
"1746655347.546984","46"
"1746655348.0475256","46"
"1746655348.5480597","49"
"1746655349.048597","49"
"1746655349.5491233","50"
"1746655350.0496516","48"
"1746655350.5501778","47"
"1746655351.0507045","46"
"1746655351.551232","45"
"1746655352.0517635","45"
"1746655352.552292","45"
"1746655353.0528202","45"
"1746655353.5533433","46"
"1746655354.053867","46"
"1746655354.5543904","46"
"1746655355.0549133","45"
"1746655355.555447","45"
"1746655356.0560186","45"
"1746655356.5565765","45"
"1746655357.0571222","45"
"1746655357.5576658","45"
"1746655358.058207","45"
"1746655358.55875","45"
"1746655359.0592966","45"
"1746655359.5598335","45"
"1746655360.0603712","45"
"1746655360.560903","45"
"1746655361.0614328","49"
"1746655361.561958","47"
"1746655362.0624895","46"
"1746655362.5630157","46"
"1746655363.0635395","46"
"1746655363.564062","45"
"1746655364.0645845","45"
"1746655364.5651064","45"
"1746655365.0656445","45"
"1746655365.5661886","45"
"1746655366.0667331","45"
"1746655366.5672708","45"
"1746655367.0678124","45"
"1746655367.5690384","45"
"1746655368.0696137","45"
"1746655368.5701747","45"
"1746655369.0706978","45"
"1746655369.5712445","45"
"1746655370.0718174","45"
"1746655370.5723867","45"
"1746655371.0729332","45"
"1746655371.5734608","45"
"1746655372.074012","45"
"1746655372.5745368","45"
"1746655373.0750518","45"
"1746655373.5755644","45"
"1746655374.0760994","45"
"1746655374.5766065","45"
"1746655375.0771234","45"
"1746655375.5776474","45"
"1746655376.0781813","45"
"1746655376.5787098","45"
"1746655377.0792372","45"
"1746655377.5797608","45"
"1746655378.0803072","45"
"1746655378.5808177","45"
"1746655379.0813377","45"
"1746655379.5818722","45"
"1746655380.0823946","45"
"1746655380.5829177","45"
"1746655516.5247736","51"
"1746655517.0252972","51"
"1746655517.52585","53"
"1746655518.0263908","52"
"1746655518.5269358","53"
"1746655519.027454","52"
"1746655519.5279737","54"
"1746655520.028488","55"
"1746655520.528993","59"
"1746655521.0295117","60"
"1746655521.5300176","59"
"1746655522.0305429","60"
"1746655522.531052","59"
"1746655523.031561","60"
"1746655523.532065","60"
"1746655524.0325758","60"
"1746655524.5330806","60"
"1746655525.0335948","61"
"1746655525.5340958","61"
"1746655526.0346143","61"
"1746655526.5351286","61"
"1746655527.0356429","63"
"1746655527.5361502","61"
"1746655528.0366614","60"
"1746655528.5371664","61"
"1746655529.0376782","59"
"1746655529.5381992","60"
"1746655530.0387127","57"
"1746655530.5392296","59"
"1746655531.0397449","56"
"1746655531.5402548","59"
"1746655532.0407944","60"
"1746655532.541305","61"
"1746655533.041821","59"
"1746655533.5423253","60"
"1746655534.0428474","59"
"1746655534.543368","58"
"1746655535.0438752","61"
"1746655535.544381","61"
"1746655536.044896","63"
"1746655536.5454152","60"
"1746655537.04593","62"
"1746655537.5464504","60"
"1746655538.0469663","62"
"1746655538.5474682","59"
"1746655539.0479853","61"
"1746655539.548499","58"
"1746655540.0490146","61"
"1746655540.5495205","58"
"1746655541.0500362","57"
"1746655541.550544","59"
"1746655542.05106","58"
"1746655542.5515656","59"
"1746655543.0520887","56"
"1746655543.5526457","58"
"1746655544.053167","58"
"1746655544.553689","58"
"1746655545.0542111","57"
"1746655545.554734","58"
"1746655546.0552578","56"
"1746655546.5557942","58"
"1746655547.0563242","57"
"1746655547.5568943","57"
"1746655548.0574634","60"
"1746655548.5580215","58"
"1746655549.0585542","59"
"1746655549.5590897","58"
"1746655550.0596623","59"
"1746655550.56024","56"
"1746655551.0608091","57"
"1746655551.561374","57"
"1746655552.0619428","57"
"1746655552.5624852","55"
"1746655553.0630088","61"
"1746655553.5635202","61"
